
儿歌,#genre#
CCTV7,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226998/index.m3u8
CCTV9,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226923/index.m3u8
CCTV11,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV12,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8
CCTV13,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV15,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226989/index.m3u8
CETV-1,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226954/index.m3u8

CCTV1,http://111.20.105.60:6060/yinhe/2/ch00000090990000001971/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV5,http://111.20.105.60:6060/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV6,http://111.20.105.60:6060/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV8,http://111.20.105.60:6060/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

CCTV6,http://221.179.217.94/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8
CCTV8,http://221.179.217.94/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8
CCTV17,http://221.179.217.94/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226459/1.m3u8

CCTV1,http://ott.js.chinamobile.com/PLTV/3/224/3221227675/index.m3u8
CCTV2,http://ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8
CCTV2,http://ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV3,http://ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8
CCTV4,http://ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV5,http://ott.js.chinamobile.com/PLTV/3/224/3221227661/index.m3u8
CCTV5+,http://ott.js.chinamobile.com/PLTV/3/224/3221227714/index.m3u8
CCTV6,http://ott.js.chinamobile.com/PLTV/3/224/3221227664/index.m3u8
CCTV7,http://ott.js.chinamobile.com/PLTV/3/224/3221227642/index.m3u8
CCTV8,http://ott.js.chinamobile.com/PLTV/3/224/3221227667/index.m3u8
CCTV9,http://ott.js.chinamobile.com/PLTV/3/224/3221227659/index.m3u8
CCTV10,http://ott.js.chinamobile.com/PLTV/3/224/3221227717/index.m3u8
CCTV11,http://ott.js.chinamobile.com/PLTV/3/224/3221227720/index.m3u8
CCTV12,http://ott.js.chinamobile.com/PLTV/3/224/3221227655/index.m3u8
